date,season,tourney_name,surface,player,player_rank,opponent,opponent_rank,odds_for,odds_against,won
2001-01-01,2001,AAPT Championships,Hard,Clement A.,18.0,Gaudenzi A.,101,,,1
2001-01-01,2001,Qatar Open,Hard,Gaudio G.,34,Voltchkov V.,46.0,,,0
2001-01-01,2001,Qatar Open,Hard,Schuettler R.,45,Vicente F.,47.0,,,0
2001-01-01,2001,Qatar Open,Hard,Coutelot N.,152,Ulihrach B.,76.0,,,0
2001-01-01,2001,Qatar Open,Hard,Alami K.,57,Schalken S.,22.0,,,0
2001-01-01,2001,Qatar Open,Hard,Al-Alawi S.K.,957,Rosset M.,28.0,,,0
2001-01-01,2001,Qatar Open,Hard,Zimonjic N.,316,Rios M.,37.0,,,0
2001-01-01,2001,Qatar Open,Hard,Santoro F.,31,Pozzi G.,43.0,,,0
2001-01-01,2001,Qatar Open,Hard,Prinosil D.,38,Mirnyi M.,40.0,,,0
2001-01-01,2001,Qatar Open,Hard,Bjorkman J.,44,Kiefer N.,20.0,,,0
2001-01-01,2001,Qatar Open,Hard,Clavet F.,49,Kafelnikov Y.,5.0,,,0
2001-01-01,2001,Qatar Open,Hard,Sanguinetti D.,65,Jonsson F.,203.0,,,0
2001-01-01,2001,Qatar Open,Hard,El Aynaoui Y.,25,Escude N.,48.0,,,0
2001-01-01,2001,Qatar Open,Hard,Zabaleta M.,61,di Pasquale A.,60.0,,,0
2001-01-01,2001,Qatar Open,Hard,Koubek S.,54,Calatrava A.,56.0,,,0
2001-01-01,2001,Qatar Open,Hard,Ivanisevic G.,129,Boutter J.,70.0,,,0
2001-01-01,2001,Qatar Open,Hard,Portas A.,51,Arazi H.,30.0,,,0
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,122,Tabara M.,96.0,,,0
2001-01-01,2001,TATA Open,Hard,Pless K.,197,Tabara M.,96.0,,,0
2001-01-01,2001,TATA Open,Hard,Robredo T.,131,Stoliarov A.,122.0,,,0
2001-01-01,2001,Qatar Open,Hard,di Pasquale A.,60,Arazi H.,30.0,,,0
2001-01-01,2001,Qatar Open,Hard,Boutter J.,70,Escude N.,48.0,,,0
2001-01-01,2001,Qatar Open,Hard,Jonsson F.,203,Kafelnikov Y.,5.0,,,0
2001-01-01,2001,Qatar Open,Hard,Calatrava A.,56,Kiefer N.,20.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Jones A.,442,Goldstein P.,81.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Smith L.,485,Haas T.,23.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Rusedski G.,69,Henman T.,10.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Arthurs W.,83,Hewitt L.,7.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Mantilla F.,99,Johansson T.,39.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Sargsian S.,94,Ljubicic I.,91.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Woodruff C.,67,Malisse X.,127.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Puentes G.,92,Martin A.,79.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Sluiter R.,95,Massu N.,87.0,,,0
2001-01-01,2001,TATA Open,Hard,Pioline C.,16,Tabara M.,96.0,,,0
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,76,Rios M.,37.0,,,0
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,46,Rios M.,37.0,,,0
2001-01-01,2001,Qatar Open,Hard,Kiefer N.,20,Voltchkov V.,46.0,,,0
2001-01-01,2001,Qatar Open,Hard,Kafelnikov Y.,5,Ulihrach B.,76.0,,,0
2001-01-01,2001,Qatar Open,Hard,Vicente F.,47,Rios M.,37.0,,,0
2001-01-01,2001,Qatar Open,Hard,Arazi H.,30,Escude N.,48.0,,,0
2001-01-01,2001,Qatar Open,Hard,Mirnyi M.,40,Voltchkov V.,46.0,,,0
2001-01-01,2001,Qatar Open,Hard,Schalken S.,22,Vicente F.,47.0,,,0
2001-01-01,2001,Qatar Open,Hard,Rosset M.,28,Ulihrach B.,76.0,,,0
2001-01-01,2001,Qatar Open,Hard,Pozzi G.,43,Rios M.,37.0,,,0
2001-01-01,2001,Qatar Open,Hard,Escude N.,48,Ulihrach B.,76.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Gaudenzi A.,101,Clement A.,18.0,,,0
2001-01-01,2001,TATA Open,Hard,Wessels P.,150,Stoliarov A.,122.0,,,0
2001-01-01,2001,TATA Open,Hard,Voinea A.,110,Pless K.,197.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Massu N.,87,Haas T.,23.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Henman T.,10,Massu N.,87.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,66,Haas T.,23.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Martin A.,79,Stoltenberg J.,66.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Ljubicic I.,91,Massu N.,87.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Johansson T.,39,Henman T.,10.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Hewitt L.,7,Haas T.,23.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Goldstein P.,81,Stoltenberg J.,66.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Clement A.,18,Massu N.,87.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Rochus C.,74,Martin A.,79.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Pavel A.,27,Ljubicic I.,91.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Vinck C.,102,Johansson T.,39.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Phau B.,208,Hewitt L.,7.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Tarango J.,112,Henman T.,10.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Malisse X.,127,Haas T.,23.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Popp A.,86,Vinck C.,102.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Kohlmann M.,217,Tarango J.,112.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Grosjean S.,19,Stoltenberg J.,66.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Ilie A.,50,Rochus C.,74.0,,,0
2001-01-01,2001,TATA Open,Hard,Zib T.,117,Agenor R.,137.0,,,0
2001-01-01,2001,TATA Open,Hard,Davydenko N.,133,Black B.,35.0,,,0
2001-01-01,2001,TATA Open,Hard,Norman M.,4,Dent T.,181.0,,,0
2001-01-01,2001,TATA Open,Hard,Bastl G.,105,Golmard J.,42.0,,,0
2001-01-01,2001,TATA Open,Hard,Youzhny M.,113,Wessels P.,150.0,,,0
2001-01-01,2001,TATA Open,Hard,Golmard J.,42,Voinea A.,110.0,,,0
2001-01-01,2001,TATA Open,Hard,Kempes E.,126,Tabara M.,96.0,,,0
2001-01-01,2001,TATA Open,Hard,Vinciguerra A.,52,Stoliarov A.,122.0,,,0
2001-01-01,2001,TATA Open,Hard,Black B.,35,Saulnier C.,130.0,,,0
2001-01-01,2001,TATA Open,Hard,Sanchez D.,89,Robredo T.,131.0,,,0
2001-01-01,2001,TATA Open,Hard,Dent T.,181,Pless K.,197.0,,,0
2001-01-01,2001,TATA Open,Hard,Agenor R.,137,Pioline C.,16.0,,,0
2001-01-01,2001,TATA Open,Hard,Squillari F.,14,Youzhny M.,113.0,,,0
2001-01-01,2001,TATA Open,Hard,Saulnier C.,130,Robredo T.,131.0,,,0
2001-01-01,2001,TATA Open,Hard,Roux L.,223,Wessels P.,150.0,,,0
2001-01-01,2001,TATA Open,Hard,Kratochvil M.,93,Vinciguerra A.,52.0,,,0
2001-01-01,2001,TATA Open,Hard,Gonzalez F.,115,Tabara M.,96.0,,,0
2001-01-01,2001,TATA Open,Hard,Bhupathi M.,889,Stoliarov A.,122.0,,,0
2001-01-01,2001,TATA Open,Hard,Alvarez E.,125,Saulnier C.,130.0,,,0
2001-01-01,2001,TATA Open,Hard,Hantschk M.,72,Sanchez D.,89.0,,,0
2001-01-01,2001,TATA Open,Hard,Paes L.,188,Robredo T.,131.0,,,0
2001-01-01,2001,TATA Open,Hard,Black W.,107,Pless K.,197.0,,,0
2001-01-01,2001,TATA Open,Hard,Blanco G.,114,Pioline C.,16.0,,,0
2001-01-01,2001,TATA Open,Hard,Vanek J.,77,Kempes E.,126.0,,,0
2001-01-01,2001,TATA Open,Hard,Syed F.,756,Voinea A.,110.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Woodbridge T.,187,Phau B.,208.0,,,0
2001-01-01,2001,AAPT Championships,Hard,Gimelstob J.,97,Pavel A.,27.0,,,0
2001-01-01,2001,TATA Open,Hard,Pioline C.,16.0,Agenor R.,137,,,1
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,122.0,Wessels P.,150,,,1
2001-01-01,2001,TATA Open,Hard,Robredo T.,131.0,Saulnier C.,130,,,1
2001-01-01,2001,TATA Open,Hard,Pless K.,197.0,Voinea A.,110,,,1
2001-01-01,2001,TATA Open,Hard,Wessels P.,150.0,Youzhny M.,113,,,1
2001-01-01,2001,TATA Open,Hard,Voinea A.,110.0,Golmard J.,42,,,1
2001-01-01,2001,TATA Open,Hard,Tabara M.,96.0,Kempes E.,126,,,1
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,122.0,Vinciguerra A.,52,,,1
2001-01-01,2001,TATA Open,Hard,Saulnier C.,130.0,Black B.,35,,,1
2001-01-01,2001,TATA Open,Hard,Robredo T.,131.0,Sanchez D.,89,,,1
2001-01-01,2001,TATA Open,Hard,Pless K.,197.0,Dent T.,181,,,1
2001-01-01,2001,TATA Open,Hard,Youzhny M.,113.0,Squillari F.,14,,,1
2001-01-01,2001,TATA Open,Hard,Wessels P.,150.0,Roux L.,223,,,1
2001-01-01,2001,TATA Open,Hard,Voinea A.,110.0,Syed F.,756,,,1
2001-01-01,2001,TATA Open,Hard,Vinciguerra A.,52.0,Kratochvil M.,93,,,1
2001-01-01,2001,TATA Open,Hard,Tabara M.,96.0,Gonzalez F.,115,,,1
2001-01-01,2001,TATA Open,Hard,Tabara M.,96.0,Pioline C.,16,,,1
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,122.0,Robredo T.,131,,,1
2001-01-01,2001,TATA Open,Hard,Tabara M.,96.0,Pless K.,197,,,1
2001-01-01,2001,TATA Open,Hard,Tabara M.,96.0,Stoliarov A.,122,,,1
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,46.0,Gaudio G.,34,,,1
2001-01-01,2001,Qatar Open,Hard,Vicente F.,47.0,Schuettler R.,45,,,1
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,76.0,Coutelot N.,152,,,1
2001-01-01,2001,Qatar Open,Hard,Schalken S.,22.0,Alami K.,57,,,1
2001-01-01,2001,Qatar Open,Hard,Rosset M.,28.0,Al-Alawi S.K.,957,,,1
2001-01-01,2001,Qatar Open,Hard,Rios M.,37.0,Zimonjic N.,316,,,1
2001-01-01,2001,Qatar Open,Hard,Pozzi G.,43.0,Santoro F.,31,,,1
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,122.0,Bhupathi M.,889,,,1
2001-01-01,2001,Qatar Open,Hard,Mirnyi M.,40.0,Prinosil D.,38,,,1
2001-01-01,2001,Qatar Open,Hard,Kafelnikov Y.,5.0,Clavet F.,49,,,1
2001-01-01,2001,Qatar Open,Hard,Jonsson F.,203.0,Sanguinetti D.,65,,,1
2001-01-01,2001,Qatar Open,Hard,Escude N.,48.0,El Aynaoui Y.,25,,,1
2001-01-01,2001,Qatar Open,Hard,di Pasquale A.,60.0,Zabaleta M.,61,,,1
2001-01-01,2001,Qatar Open,Hard,Calatrava A.,56.0,Koubek S.,54,,,1
2001-01-01,2001,Qatar Open,Hard,Boutter J.,70.0,Ivanisevic G.,129,,,1
2001-01-01,2001,Qatar Open,Hard,Arazi H.,30.0,Portas A.,51,,,1
2001-01-01,2001,Qatar Open,Hard,Kiefer N.,20.0,Bjorkman J.,44,,,1
2001-01-01,2001,Qatar Open,Hard,Arazi H.,30.0,di Pasquale A.,60,,,1
2001-01-01,2001,TATA Open,Hard,Saulnier C.,130.0,Alvarez E.,125,,,1
2001-01-01,2001,TATA Open,Hard,Robredo T.,131.0,Paes L.,188,,,1
2001-01-01,2001,AAPT Championships,Hard,Henman T.,10.0,Tarango J.,112,,,1
2001-01-01,2001,AAPT Championships,Hard,Haas T.,23.0,Malisse X.,127,,,1
2001-01-01,2001,AAPT Championships,Hard,Vinck C.,102.0,Popp A.,86,,,1
2001-01-01,2001,AAPT Championships,Hard,Tarango J.,112.0,Kohlmann M.,217,,,1
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,66.0,Grosjean S.,19,,,1
2001-01-01,2001,AAPT Championships,Hard,Rochus C.,74.0,Ilie A.,50,,,1
2001-01-01,2001,AAPT Championships,Hard,Phau B.,208.0,Woodbridge T.,187,,,1
2001-01-01,2001,AAPT Championships,Hard,Pavel A.,27.0,Gimelstob J.,97,,,1
2001-01-01,2001,AAPT Championships,Hard,Massu N.,87.0,Sluiter R.,95,,,1
2001-01-01,2001,AAPT Championships,Hard,Martin A.,79.0,Puentes G.,92,,,1
2001-01-01,2001,AAPT Championships,Hard,Malisse X.,127.0,Woodruff C.,67,,,1
2001-01-01,2001,AAPT Championships,Hard,Ljubicic I.,91.0,Sargsian S.,94,,,1
2001-01-01,2001,AAPT Championships,Hard,Johansson T.,39.0,Mantilla F.,99,,,1
2001-01-01,2001,AAPT Championships,Hard,Hewitt L.,7.0,Arthurs W.,83,,,1
2001-01-01,2001,AAPT Championships,Hard,Henman T.,10.0,Rusedski G.,69,,,1
2001-01-01,2001,AAPT Championships,Hard,Hewitt L.,7.0,Phau B.,208,,,1
2001-01-01,2001,AAPT Championships,Hard,Johansson T.,39.0,Vinck C.,102,,,1
2001-01-01,2001,AAPT Championships,Hard,Ljubicic I.,91.0,Pavel A.,27,,,1
2001-01-01,2001,AAPT Championships,Hard,Martin A.,79.0,Rochus C.,74,,,1
2001-01-01,2001,TATA Open,Hard,Pless K.,197.0,Black W.,107,,,1
2001-01-01,2001,TATA Open,Hard,Pioline C.,16.0,Blanco G.,114,,,1
2001-01-01,2001,TATA Open,Hard,Kempes E.,126.0,Vanek J.,77,,,1
2001-01-01,2001,TATA Open,Hard,Golmard J.,42.0,Bastl G.,105,,,1
2001-01-01,2001,TATA Open,Hard,Dent T.,181.0,Norman M.,4,,,1
2001-01-01,2001,TATA Open,Hard,Black B.,35.0,Davydenko N.,133,,,1
2001-01-01,2001,TATA Open,Hard,Agenor R.,137.0,Zib T.,117,,,1
2001-01-01,2001,TATA Open,Hard,Sanchez D.,89.0,Hantschk M.,72,,,1
2001-01-01,2001,AAPT Championships,Hard,Haas T.,23.0,Massu N.,87,,,1
2001-01-01,2001,AAPT Championships,Hard,Haas T.,23.0,Stoltenberg J.,66,,,1
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,66.0,Martin A.,79,,,1
2001-01-01,2001,AAPT Championships,Hard,Massu N.,87.0,Ljubicic I.,91,,,1
2001-01-01,2001,AAPT Championships,Hard,Henman T.,10.0,Johansson T.,39,,,1
2001-01-01,2001,AAPT Championships,Hard,Haas T.,23.0,Hewitt L.,7,,,1
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,66.0,Goldstein P.,81,,,1
2001-01-01,2001,AAPT Championships,Hard,Massu N.,87.0,Clement A.,18,,,1
2001-01-01,2001,AAPT Championships,Hard,Massu N.,87.0,Henman T.,10,,,1
2001-01-01,2001,AAPT Championships,Hard,Haas T.,23.0,Smith L.,485,,,1
2001-01-01,2001,Qatar Open,Hard,Escude N.,48.0,Boutter J.,70,,,1
2001-01-01,2001,Qatar Open,Hard,Kiefer N.,20.0,Calatrava A.,56,,,1
2001-01-01,2001,Qatar Open,Hard,Rios M.,37.0,Pozzi G.,43,,,1
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,76.0,Rosset M.,28,,,1
2001-01-01,2001,Qatar Open,Hard,Vicente F.,47.0,Schalken S.,22,,,1
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,46.0,Mirnyi M.,40,,,1
2001-01-01,2001,Qatar Open,Hard,Escude N.,48.0,Arazi H.,30,,,1
2001-01-01,2001,Qatar Open,Hard,Rios M.,37.0,Vicente F.,47,,,1
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,76.0,Kafelnikov Y.,5,,,1
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,46.0,Kiefer N.,20,,,1
2001-01-01,2001,Qatar Open,Hard,Rios M.,37.0,Voltchkov V.,46,,,1
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,76.0,Escude N.,48,,,1
2001-01-01,2001,Qatar Open,Hard,Kafelnikov Y.,5.0,Jonsson F.,203,,,1
2001-01-01,2001,AAPT Championships,Hard,Goldstein P.,81.0,Jones A.,442,,,1
2001-01-01,2001,Qatar Open,Hard,Rios M.,37.0,Ulihrach B.,76,,,1
2001-01-08,2001,Heineken Open,Hard,Nielsen M.,260,Rusedski G.,73.0,,,0
2001-01-08,2001,Heineken Open,Hard,Portas A.,49,Black B.,35.0,,,0
2001-01-08,2001,Heineken Open,Hard,Tabara M.,70,Balcells J.,74.0,,,0
2001-01-08,2001,adidas International,Hard,Arthurs W.,84,Hewitt L.,7.0,,,0
2001-01-08,2001,adidas International,Hard,Chang M.,32,Ilie A.,48.0,,,0
2001-01-08,2001,adidas International,Hard,Pavel A.,27,Norman M.,4.0,,,0
2001-01-08,2001,adidas International,Hard,El Aynaoui Y.,31,Pozzi G.,41.0,,,0
2001-01-08,2001,adidas International,Hard,Mirnyi M.,43,Rochus C.,76.0,,,0
2001-01-08,2001,adidas International,Hard,Voltchkov V.,39,Rosset M.,29.0,,,0
2001-01-08,2001,adidas International,Hard,Prinosil D.,38,Santoro F.,46.0,,,0
2001-01-08,2001,adidas International,Hard,Dosedel S.,66,Schuettler R.,60.0,,,0
2001-01-08,2001,Heineken Open,Hard,Balcells J.,74.0,Tabara M.,70,,,1
2001-01-08,2001,adidas International,Hard,Draper S.,263,Stoltenberg J.,63.0,,,0
2001-01-08,2001,adidas International,Hard,Tarango J.,112,Woodbridge T.,188.0,,,0
2001-01-08,2001,adidas International,Hard,Clement A.,18,Bastl G.,118.0,,,0
2001-01-08,2001,adidas International,Hard,Stoltenberg J.,63,Bjorkman J.,44.0,,,0
2001-01-08,2001,adidas International,Hard,Rosset M.,29,Federer R.,30.0,,,0
2001-01-08,2001,adidas International,Hard,Rochus C.,76,Grosjean S.,19.0,,,0
2001-01-08,2001,adidas International,Hard,Ilie A.,48,Hewitt L.,7.0,,,0
2001-01-08,2001,adidas International,Hard,Woodbridge T.,188,Norman M.,4.0,,,0
2001-01-08,2001,adidas International,Hard,Pozzi G.,41,Santoro F.,46.0,,,0
2001-01-08,2001,adidas International,Hard,Haas T.,20,Schuettler R.,60.0,,,0
2001-01-08,2001,adidas International,Hard,Schuettler R.,60,Bjorkman J.,44.0,,,0
2001-01-08,2001,adidas International,Hard,Federer R.,30,Grosjean S.,19.0,,,0
2001-01-08,2001,adidas International,Hard,Santoro F.,46,Hewitt L.,7.0,,,0
2001-01-08,2001,adidas International,Hard,Bastl G.,118,Norman M.,4.0,,,0
2001-01-08,2001,adidas International,Hard,Grosjean S.,19,Hewitt L.,7.0,,,0
2001-01-08,2001,adidas International,Hard,Bjorkman J.,44,Norman M.,4.0,,,0
2001-01-08,2001,adidas International,Hard,Norman M.,4,Hewitt L.,7.0,,,0
2001-01-08,2001,Heineken Open,Hard,Calleri A.,64,Calatrava A.,53.0,,,0
2001-01-08,2001,Heineken Open,Hard,Chela J.I.,65,Clavet F.,47.0,,,0
2001-01-08,2001,Heineken Open,Hard,Rios M.,23,di Pasquale A.,61.0,,,0
2001-01-08,2001,Heineken Open,Hard,Massu N.,67,Gambill J.M.,33.0,,,0
2001-01-08,2001,Heineken Open,Hard,Vicente F.,42,Russell M.,154.0,,,0
2001-01-08,2001,Heineken Open,Hard,Levy H.,59,Vinciguerra A.,50.0,,,0
2001-01-08,2001,Heineken Open,Hard,Rochus O.,71,Weiner G.,277.0,,,0
2001-01-08,2001,Heineken Open,Hard,Mantilla F.,100,Zabaleta M.,62.0,,,0
2001-01-08,2001,Heineken Open,Hard,Medvedev A.,58,Balcells J.,74.0,,,0
2001-01-08,2001,Heineken Open,Hard,Russell M.,154,Clavet F.,47.0,,,0
2001-01-08,2001,Heineken Open,Hard,Vinciguerra A.,50,Gambill J.M.,33.0,,,0
2001-01-08,2001,Heineken Open,Hard,Zabaleta M.,62,Hrbaty D.,17.0,,,0
2001-01-08,2001,Heineken Open,Hard,Martelli M.,281,Johansson T.,36.0,,,0
2001-01-08,2001,Heineken Open,Hard,Calatrava A.,53,Koubek S.,52.0,,,0
2001-01-08,2001,Heineken Open,Hard,Black B.,35,Rusedski G.,73.0,,,0
2001-01-08,2001,Heineken Open,Hard,di Pasquale A.,61,Weiner G.,277.0,,,0
2001-01-08,2001,Heineken Open,Hard,Weiner G.,277,Balcells J.,74.0,,,0
2001-01-08,2001,Heineken Open,Hard,Gaudio G.,34,Medvedev A.,58.0,,,0
2001-01-08,2001,Heineken Open,Hard,Gambill J.M.,33,Clavet F.,47.0,,,0
2001-01-08,2001,Heineken Open,Hard,Koubek S.,52,Rusedski G.,73.0,,,0
2001-01-08,2001,Heineken Open,Hard,Rusedski G.,73,Clavet F.,47.0,,,0
2001-01-08,2001,Heineken Open,Hard,Balcells J.,74,Hrbaty D.,17.0,,,0
2001-01-08,2001,Heineken Open,Hard,Clavet F.,47,Hrbaty D.,17.0,,,0
2001-01-08,2001,adidas International,Hard,Moya C.,40,Bastl G.,118.0,,,0
2001-01-08,2001,adidas International,Hard,Pioline C.,16,Bjorkman J.,44.0,,,0
2001-01-08,2001,adidas International,Hard,Ulihrach B.,57,Clement A.,18.0,,,0
2001-01-08,2001,adidas International,Hard,Ferreira W.,13,Federer R.,30.0,,,0
2001-01-08,2001,adidas International,Hard,Fromberg R.,88,Grosjean S.,19.0,,,0
2001-01-08,2001,Heineken Open,Hard,Sanguinetti D.,72,Martelli M.,281.0,,,0
2001-01-08,2001,Heineken Open,Hard,Squillari F.,14,Koubek S.,52.0,,,0
2001-01-08,2001,Heineken Open,Hard,Boutter J.,68,Johansson T.,36.0,,,0
2001-01-08,2001,Heineken Open,Hard,Gaudenzi A.,102,Hrbaty D.,17.0,,,0
2001-01-08,2001,Heineken Open,Hard,Johansson T.,36,Hrbaty D.,17.0,,,0
2001-01-08,2001,adidas International,Hard,Martin T.,54,Haas T.,20.0,,,0
2001-01-08,2001,Heineken Open,Hard,Black B.,35.0,Portas A.,49,,,1
2001-01-08,2001,adidas International,Hard,Bjorkman J.,44.0,Pioline C.,16,,,1
2001-01-08,2001,Heineken Open,Hard,Hrbaty D.,17.0,Clavet F.,47,,,1
2001-01-08,2001,Heineken Open,Hard,Hrbaty D.,17.0,Balcells J.,74,,,1
2001-01-08,2001,Heineken Open,Hard,Clavet F.,47.0,Rusedski G.,73,,,1
2001-01-08,2001,Heineken Open,Hard,Rusedski G.,73.0,Koubek S.,52,,,1
2001-01-08,2001,Heineken Open,Hard,Hrbaty D.,17.0,Johansson T.,36,,,1
2001-01-08,2001,Heineken Open,Hard,Clavet F.,47.0,Gambill J.M.,33,,,1
2001-01-08,2001,Heineken Open,Hard,Balcells J.,74.0,Weiner G.,277,,,1
2001-01-08,2001,Heineken Open,Hard,Weiner G.,277.0,di Pasquale A.,61,,,1
2001-01-08,2001,Heineken Open,Hard,Rusedski G.,73.0,Black B.,35,,,1
2001-01-08,2001,Heineken Open,Hard,Koubek S.,52.0,Calatrava A.,53,,,1
2001-01-08,2001,Heineken Open,Hard,Johansson T.,36.0,Martelli M.,281,,,1
2001-01-08,2001,Heineken Open,Hard,Hrbaty D.,17.0,Zabaleta M.,62,,,1
2001-01-08,2001,adidas International,Hard,Bastl G.,118.0,Moya C.,40,,,1
2001-01-08,2001,Heineken Open,Hard,Gambill J.M.,33.0,Vinciguerra A.,50,,,1
2001-01-08,2001,Heineken Open,Hard,Zabaleta M.,62.0,Mantilla F.,100,,,1
2001-01-08,2001,Heineken Open,Hard,Weiner G.,277.0,Rochus O.,71,,,1
2001-01-08,2001,Heineken Open,Hard,Vinciguerra A.,50.0,Levy H.,59,,,1
2001-01-08,2001,Heineken Open,Hard,Russell M.,154.0,Vicente F.,42,,,1
2001-01-08,2001,Heineken Open,Hard,Rusedski G.,73.0,Nielsen M.,260,,,1
2001-01-08,2001,Heineken Open,Hard,Medvedev A.,58.0,Gaudio G.,34,,,1
2001-01-08,2001,Heineken Open,Hard,Martelli M.,281.0,Sanguinetti D.,72,,,1
2001-01-08,2001,Heineken Open,Hard,Koubek S.,52.0,Squillari F.,14,,,1
2001-01-08,2001,Heineken Open,Hard,Johansson T.,36.0,Boutter J.,68,,,1
2001-01-08,2001,Heineken Open,Hard,Hrbaty D.,17.0,Gaudenzi A.,102,,,1
2001-01-08,2001,Heineken Open,Hard,Gambill J.M.,33.0,Massu N.,67,,,1
2001-01-08,2001,Heineken Open,Hard,di Pasquale A.,61.0,Rios M.,23,,,1
2001-01-08,2001,Heineken Open,Hard,Clavet F.,47.0,Russell M.,154,,,1
2001-01-08,2001,Heineken Open,Hard,Clavet F.,47.0,Chela J.I.,65,,,1
2001-01-08,2001,adidas International,Hard,Clement A.,18.0,Ulihrach B.,57,,,1
2001-01-08,2001,adidas International,Hard,Grosjean S.,19.0,Fromberg R.,88,,,1
2001-01-08,2001,adidas International,Hard,Hewitt L.,7.0,Norman M.,4,,,1
2001-01-08,2001,adidas International,Hard,Norman M.,4.0,Bjorkman J.,44,,,1
2001-01-08,2001,adidas International,Hard,Hewitt L.,7.0,Grosjean S.,19,,,1
2001-01-08,2001,adidas International,Hard,Norman M.,4.0,Bastl G.,118,,,1
2001-01-08,2001,adidas International,Hard,Hewitt L.,7.0,Santoro F.,46,,,1
2001-01-08,2001,adidas International,Hard,Grosjean S.,19.0,Federer R.,30,,,1
2001-01-08,2001,adidas International,Hard,Bjorkman J.,44.0,Schuettler R.,60,,,1
2001-01-08,2001,adidas International,Hard,Schuettler R.,60.0,Haas T.,20,,,1
2001-01-08,2001,adidas International,Hard,Santoro F.,46.0,Pozzi G.,41,,,1
2001-01-08,2001,adidas International,Hard,Norman M.,4.0,Woodbridge T.,188,,,1
2001-01-08,2001,adidas International,Hard,Hewitt L.,7.0,Ilie A.,48,,,1
2001-01-08,2001,adidas International,Hard,Grosjean S.,19.0,Rochus C.,76,,,1
2001-01-08,2001,adidas International,Hard,Federer R.,30.0,Ferreira W.,13,,,1
2001-01-08,2001,adidas International,Hard,Federer R.,30.0,Rosset M.,29,,,1
2001-01-08,2001,adidas International,Hard,Bastl G.,118.0,Clement A.,18,,,1
2001-01-08,2001,adidas International,Hard,Woodbridge T.,188.0,Tarango J.,112,,,1
2001-01-08,2001,adidas International,Hard,Stoltenberg J.,63.0,Draper S.,263,,,1
2001-01-08,2001,adidas International,Hard,Schuettler R.,60.0,Dosedel S.,66,,,1
2001-01-08,2001,adidas International,Hard,Santoro F.,46.0,Prinosil D.,38,,,1
2001-01-08,2001,adidas International,Hard,Rosset M.,29.0,Voltchkov V.,39,,,1
2001-01-08,2001,adidas International,Hard,Rochus C.,76.0,Mirnyi M.,43,,,1
2001-01-08,2001,adidas International,Hard,Pozzi G.,41.0,El Aynaoui Y.,31,,,1
2001-01-08,2001,adidas International,Hard,Norman M.,4.0,Pavel A.,27,,,1
2001-01-08,2001,adidas International,Hard,Ilie A.,48.0,Chang M.,32,,,1
